"Category","Snippet","Tool","Coverage","Status","Size","Run","Duration"
"L1","L1_minMaxWithOrder","CATG","66.67","NC","1","run-01-15sec","515"
"L1","L1_powGuessBase","CATG","","N/A","","run-01-15sec",""
"L1","L1_powGuessBaseAndExponent","CATG","","N/A","","run-01-15sec",""
"L1","L1_powGuessExponent","CATG","","N/A","","run-01-15sec",""
"L1","L1_sin","CATG","","N/A","","run-01-15sec",""
"L1","L1_sinImpossible","CATG","","N/A","","run-01-15sec",""
"L1","L1_sqrt","CATG","","N/A","","run-01-15sec",""
"L1","L1_sqrtImpossible","CATG","","N/A","","run-01-15sec",""
"L1","L1_tan","CATG","","N/A","","run-01-15sec",""
"L2","L2_add","CATG","57.14","NC","1","run-01-15sec","504"
"L2","L2_addWithCondition","CATG","53.85","NC","1","run-01-15sec","503"
"L2","L2_charAt","CATG","","EX","","run-01-15sec","479"
"L2","L2_compareTo","CATG","55.56","NC","1","run-01-15sec","496"
"L2","L2_compareToIgnoreCase","CATG","55.56","NC","1","run-01-15sec","496"
"L2","L2_equality","CATG","77.78","NC","3","run-01-15sec","1623"
"L2","L2_equalityIgnoreCase","CATG","55.56","NC","1","run-01-15sec","491"
"L2","L2_indexOf","CATG","50.00","NC","1","run-01-15sec","509"
"L2","L2_length","CATG","57.14","NC","1","run-01-15sec","498"
"L2","L2_regionEquality","CATG","50.00","NC","1","run-01-15sec","506"
"L2","L2_startsEnds","CATG","42.86","NC","1","run-01-15sec","496"
"L2","L2_substring","CATG","","EX","","run-01-15sec","491"
"L2","L2_switchString","CATG","","N/A","","run-01-15sec",""
"L3","L3_guessDouble","CATG","","N/A","","run-01-15sec",""
"L3","L3_guessInteger","CATG","100.00","C","3","run-01-15sec","1640"
"L3","L3_integerOverflow","CATG","100.00","C","3","run-01-15sec","1764"
"L4","L4_guessElementAndIndex","CATG","","EX","","run-01-15sec","1099"
"L4","L4_guessElements","CATG","100.00","C","3","run-01-15sec","1646"
"L4","L4_guessGenericListWithElement","CATG","","N/A","","run-01-15sec",""
"L4","L4_guessGenericListWithSize","CATG","","N/A","","run-01-15sec",""
"L4","L4_guessGenericVectorWithElement","CATG","","N/A","","run-01-15sec",""
"L4","L4_guessGenericVectorWithSize","CATG","","N/A","","run-01-15sec",""
"L4","L4_guessIndices","CATG","88.89","NC","1","run-01-15sec","505"
"L4","L4_guessListWithSize","CATG","","N/A","","run-01-15sec",""
"L4","L4_guessSize","CATG","100.00","C","2","run-01-15sec","1088"
"L4","L4_guessSizeAndElements","CATG","100.00","C","4","run-01-15sec","2273"
"L4","L4_guessVectorWithSize","CATG","","N/A","","run-01-15sec",""
"LO","LO_associatesAPIGuessDate","CATG","41.18","NC","1","run-01-15sec","510"
"LO","LO_associatesAPIGuessValidDateFormat","CATG","46.67","NC","1","run-01-15sec","510"
"LO","LO_guessUUID","CATG","33.33","NC","1","run-01-15sec","505"
